
Predictions were generated on 09-Dec-2020 at 17:18:24 using AA AeroAcoustics (v1.00.00, 18-Aug-2016)

Number of observers      :    2
Description from AA input file, line2: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

     Time           	Obs1                	Obs2                
         6.7000	  7.984421E+001	  6.403121E+001
         6.8000	  7.984674E+001	  6.184948E+001
         6.9000	  7.981586E+001	  6.155501E+001
         7.0000	  7.977927E+001	  6.171630E+001
         7.1000	  7.976478E+001	  6.208113E+001
         7.2000	  7.975217E+001	  6.249457E+001
         7.3000	  7.972971E+001	  6.290597E+001
         7.4000	  7.970532E+001	  6.330515E+001
         7.5000	  7.970139E+001	  6.366901E+001
         7.6000	  7.973433E+001	  6.395724E+001
         7.7000	  7.976358E+001	  6.410236E+001
         7.8000	  7.975016E+001	  6.406755E+001
         7.9000	  7.972215E+001	  6.390303E+001
         8.0000	  7.973072E+001	  6.371873E+001
         8.1000	  7.979774E+001	  6.358298E+001
         8.2000	  7.987653E+001	  6.342688E+001
         8.3000	  7.988635E+001	  6.314176E+001
         8.4000	  7.982559E+001	  6.279924E+001
         8.5000	  7.977407E+001	  6.272004E+001
         8.6000	  7.979662E+001	  6.335890E+001
         8.7000	  7.987678E+001	  6.415539E+001
         8.8000	  7.991554E+001	  6.198849E+001
         8.9000	  7.984386E+001	  6.160235E+001
         9.0000	  7.972241E+001	  6.153803E+001
         9.1000	  7.966683E+001	  6.187286E+001
         9.2000	  7.972348E+001	  6.250925E+001
         9.3000	  7.981798E+001	  6.313807E+001
         9.4000	  7.982010E+001	  6.351934E+001
         9.5000	  7.971006E+001	  6.367447E+001
         9.6000	  7.961036E+001	  6.378494E+001
         9.7000	  7.963567E+001	  6.395519E+001
         9.8000	  7.977248E+001	  6.411708E+001
         9.9000	  7.988191E+001	  6.410480E+001
        10.0000	  7.985186E+001	  6.384442E+001
        10.1000	  7.974316E+001	  6.346787E+001
        10.2000	  7.970221E+001	  6.316458E+001
        10.3000	  7.978825E+001	  6.300019E+001
        10.4000	  7.991882E+001	  6.292571E+001
        10.5000	  7.995276E+001	  6.298175E+001
        10.6000	  7.986186E+001	  6.347514E+001
        10.7000	  7.976065E+001	  6.386089E+001
        10.8000	  7.974742E+001	  6.173769E+001
        10.9000	  7.980873E+001	  6.152062E+001
        11.0000	  7.985171E+001	  6.165778E+001
        11.1000	  7.980925E+001	  6.205377E+001
        11.2000	  7.972745E+001	  6.257312E+001
        11.3000	  7.968570E+001	  6.305984E+001
        11.4000	  7.969705E+001	  6.344268E+001
        11.5000	  7.972771E+001	  6.372581E+001
        11.6000	  7.973941E+001	  6.391764E+001
        11.7000	  7.973307E+001	  6.403313E+001
        11.8000	  7.974080E+001	  6.407121E+001
        11.9000	  7.976132E+001	  6.398613E+001
        12.0000	  7.977859E+001	  6.376575E+001
        12.1000	  7.979416E+001	  6.347913E+001
        12.2000	  7.981293E+001	  6.322410E+001
        12.3000	  7.983889E+001	  6.303660E+001
        12.4000	  7.985977E+001	  6.290234E+001
        12.5000	  7.985539E+001	  6.293711E+001
        12.6000	  7.983662E+001	  6.350677E+001
        12.7000	  7.982435E+001	  6.318461E+001
        12.8000	  7.981891E+001	  6.170477E+001
        12.9000	  7.980994E+001	  6.155558E+001
        13.0000	  7.978633E+001	  6.172756E+001
        13.1000	  7.975676E+001	  6.211151E+001
        13.2000	  7.974140E+001	  6.259832E+001
        13.3000	  7.973484E+001	  6.306888E+001
        13.4000	  7.972112E+001	  6.345492E+001
        13.5000	  7.970364E+001	  6.374085E+001
        13.6000	  7.970086E+001	  6.393700E+001
        13.7000	  7.972833E+001	  6.405546E+001
        13.8000	  7.976884E+001	  6.407498E+001
        13.9000	  7.978468E+001	  6.395821E+001
        14.0000	  7.977243E+001	  6.372016E+001
        14.1000	  7.976709E+001	  6.344629E+001
        14.2000	  7.979949E+001	  6.322499E+001
        14.3000	  7.985831E+001	  6.306174E+001
        14.4000	  7.988998E+001	  6.291928E+001
        14.5000	  7.986192E+001	  6.294923E+001
        14.6000	  7.980755E+001	  6.354086E+001
        14.7000	  7.978562E+001	  6.280708E+001
        14.8000	  7.981585E+001	  6.170402E+001
        14.9000	  7.985230E+001	  6.170619E+001
        15.0000	  7.982921E+001	  6.186242E+001
        15.1000	  7.974677E+001	  6.209797E+001
        15.2000	  7.967691E+001	  6.249062E+001
        15.3000	  7.968153E+001	  6.302283E+001
        15.4000	  7.974569E+001	  6.354314E+001
        15.5000	  7.978707E+001	  6.388513E+001
        15.6000	  7.975118E+001	  6.400139E+001
        15.7000	  7.968302E+001	  6.398272E+001
        15.8000	  7.967183E+001	  6.394437E+001
        15.9000	  7.974688E+001	  6.390978E+001
        16.0000	  7.984404E+001	  6.380675E+001
        16.1000	  7.987154E+001	  6.356294E+001
        16.2000	  7.982072E+001	  6.322068E+001
        16.3000	  7.977231E+001	  6.292112E+001
        16.4000	  7.979293E+001	  6.279033E+001
        16.5000	  7.986393E+001	  6.299783E+001
        16.6000	  7.990507E+001	  6.375631E+001
        16.7000	  7.986754E+001	  6.270072E+001
        16.8000	  7.979282E+001	  6.167488E+001
        16.9000	  7.975177E+001	  6.161988E+001
        17.0000	  7.976148E+001	  6.180850E+001
        17.1000	  7.978245E+001	  6.215224E+001
        17.2000	  7.976967E+001	  6.261117E+001
        17.3000	  7.972807E+001	  6.309953E+001
        17.4000	  7.969925E+001	  6.352518E+001
        17.5000	  7.970137E+001	  6.382926E+001
        17.6000	  7.972002E+001	  6.399526E+001
        17.7000	  7.973682E+001	  6.403962E+001
        17.8000	  7.974811E+001	  6.400042E+001
        17.9000	  7.976556E+001	  6.390677E+001
        18.0000	  7.979008E+001	  6.374290E+001
        18.1000	  7.980867E+001	  6.348965E+001
        18.2000	  7.981918E+001	  6.318928E+001
        18.3000	  7.982929E+001	  6.293265E+001
        18.4000	  7.984303E+001	  6.282362E+001
        18.5000	  7.985468E+001	  6.304451E+001
        18.6000	  7.985084E+001	  6.380512E+001
        18.7000	  7.983139E+001	  6.248255E+001
        18.8000	  7.981057E+001	  6.162829E+001
        18.9000	  7.979478E+001	  6.160575E+001
        19.0000	  7.977864E+001	  6.183286E+001
        19.1000	  7.975681E+001	  6.220584E+001
        19.2000	  7.973367E+001	  6.266608E+001
        19.3000	  7.972195E+001	  6.313935E+001
        19.4000	  7.972260E+001	  6.354853E+001
        19.5000	  7.972232E+001	  6.383933E+001
        19.6000	  7.971628E+001	  6.399578E+001
        19.7000	  7.971667E+001	  6.403864E+001
        19.8000	  7.973845E+001	  6.400435E+001
        19.9000	  7.977779E+001	  6.390597E+001
        20.0000	  7.980851E+001	  6.372339E+001
